material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,1.0033333333333334,8.8380123500696360068786831678959365999976949077274487387782941367370629717989612E-19,0,0,0E-79,1
carbon,6,1.0048387096774194,8.7660528876760683889289762925313651187491188320870733376730380332231923792651859E-19,0,0,0E-79,1
carbon,6,1.0063440860215054,8.6945488838046761697784302072867938135321244040917921587736537458498347330534775E-19,0,0,0E-79,1
carbon,6,1.0078494623655914,8.6234979902304491644864131136409277149574562374552573422408477632599069104680267E-19,0,0,0E-79,1
carbon,6,1.0093548387096773,8.5528978699768859822175044012657617761826649818117062121581207218501603263110339E-19,0,0,0E-79,1
carbon,6,1.0108602150537636,8.4827461972637705819373971227695896937675003206880560251098957022019887276988800E-19,0,0,0E-79,1
carbon,6,1.0123655913978495,8.4130406574553086442044120296151518801886113254366647539761905414950126810424191E-19,0,0,0E-79,1
carbon,6,1.0138709677419355,8.3437789470082916770804259816541945348729759346447852639239757195170513446994540E-19,0,0,0E-79,1
carbon,6,1.0153763440860215,8.2749587734207071854535427773382480499184093167748288520585323319271056109695122E-19,0,0,0E-79,1
carbon,6,1.0168817204301075,8.2065778551804630989812435726988302691896732970595265454532429884474061695741410E-19,0,0,0E-79,1
carbon,6,1.0183870967741935,8.1386339217143836849359092737193299950102515214908322034172579649036046405949072E-19,0,0,0E-79,1
carbon,6,1.0198924731182797,8.0711247133374250759683772137499518951831076896237441067648645026484181287824227E-19,0,0,0E-79,1
carbon,6,1.0213978494623657,8.0040479812021676987801218941409506056092548833169045879644184866159615265545495E-19,0,0,0E-79,1
carbon,6,1.0229032258064517,7.9374014872484501587564741910328443924772037369541071897795843724851873156300034E-19,0,0,0E-79,1
carbon,6,1.0244086021505376,7.8711830041533272966973078240750124743722312101878837587679201210052576255779536E-19,0,0,0E-79,1
carbon,6,1.0259139784946236,7.8053903152811903581689303276627252321063958892558038144124537392524273381448243E-19,0,0,0E-79,1
carbon,6,1.0274193548387096,7.7400212146341680763643699769184365898941680604858416689243075569376086302272127E-19,0,0,0E-79,1
carbon,6,1.0289247311827956,7.6750735068027106605691923127468708394645021359422576083595797697846912805881213E-19,0,0,0E-79,1
carbon,6,1.0304301075268818,7.6105450069164131674220842391055182054634740160892159430586136940024061712396085E-19,0,0,0E-79,1
carbon,6,1.0319354838709678,7.5464335405951021074101213362141281968820249463043438960812073877423761843491452E-19,0,0,0E-79,1
carbon,6,1.0334408602150538,7.4827369439000602225019271679571269851594294990253395035229644290499169128481891E-19,0,0,0E-79,1
carbon,6,1.0349462365591398,7.4194530632855598790514871000158413810114098282979450349264768568920537155666393E-19,0,0,0E-79,1
carbon,6,1.0364516129032257,7.3565797555505794933427465972653088020313479635912752575284851112172217961013584E-19,0,0,0E-79,1
carbon,6,1.037956989247312,7.2941148877907161194473870186792586390445005993818017759770054894785804523003049E-19,0,0,0E-79,1
carbon,6,1.039462365591398,7.2320563373504217041091986691565005391493287269709081187835274256906976184279806E-19,0,0,0E-79,1
carbon,6,1.040967741935484,7.1704019917752919585722691122196004092146747077687717302685504631811438809130645E-19,0,0,0E-79,1
carbon,6,1.04247311827957,7.1091497487647185357233798155308120750779242052133782486056239453078933525080177E-19,0,0,0E-79,1
carbon,6,1.0439784946236559,7.0482975161246955118675364455202902498724742311525609657665927346021053981235955E-19,0,0,0E-79,1
carbon,6,1.0454838709677419,6.9878432117208340304130818173353551353729240705907876472170689964373451594718894E-19,0,0,0E-79,1
carbon,6,1.0469892473118279,6.9277847634316322068763362688225327922166976219221828884771544728696582090353375E-19,0,0,0E-79,1
carbon,6,1.048494623655914,6.8681201091019145234222673419913991009832896985814096141091430491548282622785684E-19,0,0,0E-79,1
carbon,6,1.05,6.8088471964965241710675592295053750750877249448993391789107151084202338247344424E-19,0,0,0E-79,1
carbon,6,1.051505376344086,6.7499639832541836800457085500292602080253701564044086680268547818430016065027192E-19,0,0,0E-79,1
carbon,6,1.053010752688172,6.6914684368416061998221456108668288264303226305673149860641212206870288015822547E-19,0,0,0E-79,1
