instance,row,col,x,y
u_spu26/node_350,8,119,0.8703703703703702,0.05555555555555555
u_spu26/node_351,10,119,0.8703703703703702,0.09259259259259259
u_spu26/node_352,19,109,0.7962962962962962,0.24074074074074073
u_spu26/node_353,22,109,0.7962962962962962,0.2777777777777778
u_spu26/node_354,24,109,0.7962962962962962,0.31481481481481477
u_spu26/node_355,19,114,0.8333333333333331,0.24074074074074073
u_spu26/node_356,24,114,0.8333333333333331,0.31481481481481477
u_spu26/node_357,19,119,0.8703703703703702,0.24074074074074073
u_spu26/node_358,22,119,0.8703703703703702,0.2777777777777778
u_spu26/node_359,24,119,0.8703703703703702,0.31481481481481477
u_spu26/node_360,5,123,0.9074074074074073,0.018518518518518517
u_spu26/node_361,8,123,0.9074074074074073,0.05555555555555555
u_spu26/node_362,10,123,0.9074074074074073,0.09259259259259259
u_spu26/node_363,5,127,0.9444444444444443,0.018518518518518517
u_spu26/node_364,10,127,0.9444444444444443,0.09259259259259259
u_spu26/node_365,4,126,0.9814814814814814,0.018518518518518517
u_spu26/node_366,8,127,0.9814814814814814,0.05555555555555555
u_spu26/node_367,9,126,0.9814814814814814,0.09259259259259259
u_spu26/node_368,12,123,0.9074074074074073,0.12962962962962962
u_spu26/node_369,14,123,0.9074074074074073,0.16666666666666666
u_spu26/node_370,17,123,0.9074074074074073,0.2037037037037037
u_spu26/node_371,12,127,0.9444444444444443,0.12962962962962962
u_spu26/node_372,17,127,0.9444444444444443,0.2037037037037037
u_spu26/node_373,11,126,0.9814814814814814,0.12962962962962962
u_spu26/node_374,14,127,0.9814814814814814,0.16666666666666666
u_spu26/node_375,16,126,0.9814814814814814,0.2037037037037037
